Name,ID,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
This Is,2zuDMKJ2rSgCMtJknUJBZ9,0.221,0.483,0.492,0.0,0.0,0.0907,-6.734,0.0,0.157,168.79,4.0,0.328,rnb
Fly Girl (feat. Missy Elliott),2sITbbWIOeg2Lwp4WN2jqr,0.406,0.698,0.846,0.0,8.0,0.204,-3.735,0.0,0.0981,103.968,4.0,0.726,rnb
Fight you,0ge1CEon7FR7RX78ZdZhDA,0.49,0.574,0.384,0.000248,11.0,0.121,-11.84,0.0,0.257,141.643,4.0,0.221,rnb
Boyfriend,0DAttm4G157xCPhzrCeH4t,0.29,0.771,0.366,8.81e-06,1.0,0.112,-4.6,1.0,0.318,97.971,4.0,0.568,rnb
DFMU,1bdm32mVmoGcek5bVKxQKd,0.499,0.708,0.673,0.000233,6.0,0.103,-4.163,1.0,0.0585,136.969,4.0,0.311,rnb
Waste My Time,3xeDr86GnwkxhHQIit7NL9,0.0745,0.784,0.531,2.03e-05,5.0,0.093,-5.874,0.0,0.0579,120.053,4.0,0.436,rnb
Escape Plan,2QtQLiOD8Wy6iG7pRiyrfN,0.519,0.54,0.38,0.00067,1.0,0.107,-14.67,1.0,0.0597,89.942,4.0,0.228,rnb
Woman,60GM1mA58L7SYD1bLQXBho,0.71,0.535,0.649,0.000236,1.0,0.0973,-7.638,1.0,0.205,86.761,4.0,0.796,rnb
i might,7G5msnKmV8flQ7IvQJfv9n,0.372,0.822,0.465,0.0147,4.0,0.0918,-8.901,0.0,0.0618,116.947,4.0,0.515,rnb
Slow Motion,2pN5GwdTWbFZNRgFIRlW7J,0.575,0.733,0.479,0.00053,11.0,0.0831,-9.27,0.0,0.301,88.742,4.0,0.485,rnb
Little Things,1javLzBHyEKJJrG3s6FHaM,0.0836,0.843,0.78,0.00086,6.0,0.0819,-7.182,0.0,0.212,134.962,4.0,0.652,rnb
Wrist On Freeze,0SQhNk3xObQHvq3NFpIbj4,0.0326,0.767,0.812,0.00578,2.0,0.0926,-5.066,1.0,0.0758,96.017,4.0,0.258,rnb
Cardboard Box,2rf9i0Enr8cw1JRME8Rsvq,0.04,0.579,0.714,0.0,1.0,0.341,-4.308,1.0,0.0584,80.419,4.0,0.696,rnb
"Witness Me (feat. Shawn Mendes, Stormzy & Kirk Franklin)",4lIA2yIyg1nPmJ1rBwNFUG,0.836,0.459,0.546,0.0,5.0,0.109,-7.087,1.0,0.0678,88.142,4.0,0.472,rnb
blue,7pt64sepCy5QmDrgy9wOJS,0.668,0.725,0.258,2.63e-05,11.0,0.0955,-14.065,0.0,0.255,127.876,3.0,0.173,rnb
It Only Cost Everything,1kT0mt9AstPDGUJCNiQI0T,0.705,0.465,0.338,0.0,10.0,0.0895,-8.154,0.0,0.0403,105.713,3.0,0.572,rnb
Is It A Crime?,2Cg9T9AvAQH25jGgydexrk,0.397,0.65,0.541,0.0,10.0,0.0838,-7.156,0.0,0.0508,77.011,4.0,0.447,rnb
Not Another Love Song,5XqDJFVCyRTm5J7cIfRmR1,0.171,0.499,0.612,4.99e-05,4.0,0.0993,-5.947,0.0,0.127,157.218,4.0,0.218,rnb
Crying,3lpLpwUF7KTJVj9yoySNwM,0.199,0.294,0.488,0.0,11.0,0.121,-6.562,1.0,0.0366,171.695,4.0,0.208,rnb
Paper Thin,7kC97zPE0PxrcItXyGdk8P,0.646,0.714,0.243,0.212,0.0,0.11,-13.513,1.0,0.0478,125.834,4.0,0.504,rnb
Promises,6aQ7nlAEOhhRnsHi6eY0zT,0.289,0.797,0.266,0.0368,1.0,0.0969,-13.758,1.0,0.0415,92.011,4.0,0.683,rnb
Terms and Conditions,0gR8uAS5TNzsuWzWw9OR8C,0.0816,0.7,0.657,3.63e-06,9.0,0.115,-7.121,0.0,0.0603,91.554,4.0,0.479,rnb
homies,3ocupZmiN2ZqQjTVntVtLv,0.784,0.646,0.347,0.0,5.0,0.116,-5.168,1.0,0.0327,91.578,3.0,0.422,rnb
Dive - Acoustic,5jC2oXJu7BWpVw9pTBIyRb,0.906,0.626,0.289,0.000694,5.0,0.112,-7.435,1.0,0.0649,84.873,4.0,0.336,rnb
Immature,5Gp0BMl8A4obJTIpd0qWox,0.00718,0.346,0.571,0.0,10.0,0.135,-5.724,0.0,0.0762,82.67,4.0,0.463,rnb
Golden Child (Jealous),1NHNnN4m39qq0v33BBaib8,0.333,0.76,0.587,0.389,2.0,0.0962,-10.224,1.0,0.0425,99.137,4.0,0.868,rnb
Leave You Alone,0cNc0bSxmRVhAUJVYEd2Qk,0.088,0.65,0.647,0.0,3.0,0.123,-4.387,0.0,0.0562,114.968,4.0,0.554,rnb
sore loser - Acoustic,4BLMoyEr9bR8RxnyCSCcEx,0.909,0.802,0.209,3.39e-05,2.0,0.12,-13.605,0.0,0.188,110.994,4.0,0.67,rnb
"It’s Not Me, It’s You (feat. Destin Conrad)",2N6s3852GdbqhV29or63En,0.347,0.548,0.598,3.63e-05,11.0,0.155,-8.386,0.0,0.25,136.618,4.0,0.36,rnb
Addicted,3vMtiUewPWlK5UsIlE8lIy,0.241,0.453,0.507,0.0107,2.0,0.16,-10.098,1.0,0.0519,134.023,4.0,0.153,rnb
Gave You My All,2WEgOHRhsCMNiV4qcWNxAX,0.131,0.627,0.591,0.0,7.0,0.155,-7.591,1.0,0.117,92.846,4.0,0.455,rnb
Not My Job,2W7LjZ16NzpnWaUCBsU7Wp,0.0325,0.525,0.617,0.0,10.0,0.161,-4.39,0.0,0.0477,88.272,4.0,0.769,rnb
Someday,7mGIEdzSzlTYjPtiDsXbVM,0.381,0.733,0.551,0.000188,7.0,0.342,-6.958,1.0,0.0439,132.853,4.0,0.503,rnb
Free (feat. Tom Misch),01wXY7C3ywHBMKmj3f31EB,0.208,0.829,0.592,0.0363,11.0,0.114,-8.84,0.0,0.0635,139.922,4.0,0.903,rnb
Heat of the Moon,29x8z6fxeHdVTc0P3rhv10,0.765,0.858,0.203,0.626,11.0,0.0779,-12.252,0.0,0.0733,126.018,4.0,0.432,rnb
Heaven,7a8PhNagyGpyzbmAsAg76b,0.834,0.609,0.159,0.00469,8.0,0.0781,-13.542,1.0,0.129,69.183,4.0,0.43,rnb
Bussdown (feat. Shaybo),2gP19KH3V5JlR5MycAIL3R,0.368,0.661,0.618,0.000563,4.0,0.0743,-8.422,0.0,0.313,148.544,4.0,0.81,rnb
"Sun, Moon & Herbs",6pHo3k15lbYuljy5GyZsV2,0.0328,0.654,0.758,0.00052,3.0,0.147,-6.117,0.0,0.124,153.988,4.0,0.648,rnb
All Good,5rTLetGFtJPn2PxK5z19xs,0.154,0.6,0.83,0.0,5.0,0.0865,-2.789,1.0,0.311,79.836,4.0,0.941,rnb
November (feat. Stormzy),7xkHbITyunC0rn47Gs8hS4,0.354,0.671,0.325,0.0,10.0,0.129,-8.672,1.0,0.0537,133.307,3.0,0.231,rnb
In Too Deep (feat. Kiana Ledé),3nGhp4FuIaitNYn4s7XHaX,0.605,0.661,0.29,0.0096,9.0,0.0629,-14.568,1.0,0.0453,151.887,3.0,0.13,rnb
Endless No Mores - A COLORS SHOW,0UpZJ1hUK4q1yzjQzXI32B,0.959,0.394,0.0938,0.00116,9.0,0.107,-14.112,0.0,0.0354,85.711,3.0,0.11,rnb
All or Nothing (feat. Ella Mai),1kCHMAf5TOU97HhuRHNyi1,0.319,0.676,0.504,2.97e-06,5.0,0.102,-6.231,0.0,0.0412,93.018,4.0,0.488,rnb
Eating out,3HPJLLqf4qdKm6xbXiW979,0.499,0.752,0.663,0.0,8.0,0.164,-5.34,0.0,0.177,94.949,4.0,0.56,rnb
Cardboard Box - Happi Remix,3Y9cvPqBb5Dnpc2MpG6f3j,0.463,0.46,0.752,0.0,1.0,0.212,-3.514,1.0,0.205,93.795,4.0,0.709,rnb
As You Are - A COLORS SHOW,6tDTnxaq8fHXZ63uiseNRH,0.343,0.628,0.484,8.62e-06,3.0,0.297,-8.336,0.0,0.0396,113.842,4.0,0.496,rnb
I love you,2QcTf5lLMrrWTiElDInpTb,0.267,0.434,0.618,0.00061,1.0,0.102,-7.1,0.0,0.224,104.333,4.0,0.534,rnb
Holy Ghost,0zVk3uuV9UhxAt48F3OL12,0.471,0.823,0.415,0.0316,5.0,0.128,-10.845,0.0,0.0637,113.976,4.0,0.488,rnb
Jigga (feat. Khaid),2M3mZOLJc4rnosgHWbJhCE,0.0582,0.792,0.772,0.00114,1.0,0.097,-4.784,1.0,0.0468,112.012,4.0,0.798,rnb
Romeo Must Die (RMD),10TygH7MoyZQFRMPDE2N6Z,0.299,0.827,0.658,7e-05,6.0,0.144,-6.364,0.0,0.0603,104.972,4.0,0.551,rnb
Ngozi,5mhM7bfzv52bzfCzlq8vH1,0.0335,0.903,0.428,6.23e-06,6.0,0.0623,-14.557,1.0,0.247,115.029,4.0,0.503,rnb
Dawn,64z7t6bK8JLmmxZGshF2FO,0.277,0.752,0.644,0.0,1.0,0.144,-5.359,1.0,0.0474,94.189,4.0,0.574,rnb
American Love,5c1rWQAa8GX8LgCC9h3d1N,0.379,0.415,0.786,0.0,0.0,0.153,-5.604,0.0,0.172,192.408,4.0,0.458,rnb
Liar (feat. Fireboy DML),5DIkmpzdunkmEo8yNukpJG,0.423,0.726,0.814,0.000281,10.0,0.212,-5.199,0.0,0.0327,95.019,4.0,0.676,rnb
Hypé (feat. Ayra Starr),6oi6AAmRd2IbanRMQZC39J,0.027,0.705,0.595,0.0,5.0,0.0811,-8.411,0.0,0.161,175.909,4.0,0.357,rnb
Be Easy,3w2PO4US2zMxFDxEjWT9yB,0.0874,0.822,0.488,0.0,5.0,0.154,-9.24,0.0,0.643,123.893,4.0,0.439,rnb
For You,3225yFOItlcXiJOl2hURor,0.682,0.675,0.53,0.0,9.0,0.108,-6.907,1.0,0.0313,97.981,4.0,0.477,rnb
Perfect Combi,1rHPk2p3MQTh2wloo3P9zE,0.187,0.871,0.613,6.18e-05,1.0,0.0832,-8.114,1.0,0.0685,104.02,4.0,0.873,rnb
I Believe,2qSw2Sykal2ECGgAPxEz9t,0.618,0.83,0.599,0.000334,1.0,0.133,-6.022,1.0,0.0559,106.0,4.0,0.78,rnb
Pidgin & English,4jcrO2T6XJ1B7hXsAEJ3ve,0.406,0.771,0.399,4.93e-05,6.0,0.115,-7.876,0.0,0.122,115.985,5.0,0.0885,rnb
Stamina,1tOp1bXhT9tvydSAGDHdQy,0.314,0.578,0.631,0.0,8.0,0.107,-7.619,1.0,0.228,108.783,4.0,0.794,rnb
Makila : Wablé,1YQNuvUhIjaYbNi7FV2SVN,0.561,0.498,0.83,0.192,4.0,0.144,-6.123,0.0,0.293,81.118,4.0,0.476,rnb
Okay,3Czzw1naZtpz9cFxKtpRne,0.352,0.725,0.76,0.0,11.0,0.118,-3.923,0.0,0.256,103.821,4.0,0.478,rnb
Casanova,4ZvDUUJcpywNxrEetDl3vT,0.545,0.773,0.759,0.0801,7.0,0.0947,-5.455,0.0,0.116,117.969,4.0,0.613,rnb
Carry Me Go,7qxtOyjZ2zSaxBPH8fLyNi,0.627,0.853,0.702,6.26e-06,6.0,0.0947,-5.822,1.0,0.112,116.994,4.0,0.895,rnb
Distance,5CqoCjBdBTTsVrf6aZOP3t,0.675,0.672,0.606,0.000376,10.0,0.336,-7.934,0.0,0.121,99.92,4.0,0.767,rnb
Fever,3GAu2fSg9deV207noxMKl0,0.441,0.765,0.542,0.000185,7.0,0.147,-6.426,1.0,0.0764,94.004,4.0,0.468,rnb
Jaga Jaga (with Babyboy AV),3qH7uGwlgr7tmoL4ksRhPi,0.697,0.914,0.406,0.0843,1.0,0.0914,-7.735,0.0,0.103,102.991,4.0,0.825,rnb
Ole (feat. BNXN),6GkFuU6FVfx866bhM1T1Iz,0.242,0.521,0.584,0.0,8.0,0.276,-5.692,0.0,0.104,118.932,5.0,0.556,rnb
Rent Free,320cXn7htYGuAzNyxLDs3M,0.0761,0.726,0.837,0.0661,6.0,0.222,-6.823,1.0,0.0894,113.992,4.0,0.414,rnb
Anabella,1U1RKt97fE9kZvPCrRedm4,0.153,0.929,0.651,0.0,11.0,0.0896,-5.131,1.0,0.0834,116.995,4.0,0.833,rnb
Friends,0n01Jo84IjPVepCtZ6ZFnr,0.21,0.828,0.516,0.00263,5.0,0.102,-9.703,1.0,0.0685,110.047,4.0,0.365,rnb
Blood Tonic,5JiTgli1D3CpDsFpDFDgyJ,0.548,0.577,0.453,0.00812,0.0,0.141,-8.549,1.0,0.47,188.739,4.0,0.261,rnb
360,1cc0t6E1dXtbiCG36dORhP,0.305,0.77,0.626,0.0,9.0,0.125,-7.718,0.0,0.159,102.895,4.0,0.686,rnb
Vision,5jLBhr4USswMtmsItEAFqf,0.412,0.633,0.374,0.00073,7.0,0.11,-7.332,0.0,0.121,121.017,5.0,0.508,rnb
I Don't Care,5vNL6mCfgM4SzLB7xy4KXa,0.489,0.619,0.691,0.00394,10.0,0.268,-5.958,1.0,0.0938,123.34,5.0,0.81,rnb
Oh My,5ms1yX1DJXb0TT2Z5cbgSq,0.586,0.652,0.313,6.17e-05,4.0,0.112,-7.287,1.0,0.504,139.1,5.0,0.448,rnb
PRAY,4elqMh9ojfxBzk77bCZHcy,0.217,0.741,0.711,0.00132,5.0,0.118,-6.901,0.0,0.127,100.02,4.0,0.827,rnb
Celine Dion,4ktaaCJqhdNwD7tKdbD6iv,0.285,0.791,0.799,0.0,1.0,0.127,-6.312,0.0,0.225,98.0,4.0,0.501,rnb
Dey Your Dey,4X1Ae3Y9MEURgckWfrsrI9,0.486,0.6,0.584,3.49e-06,3.0,0.429,-6.809,0.0,0.151,122.687,3.0,0.699,rnb
Run Away (OMALICHA),1xet6MZrk4Zr5ebis0EF1Q,0.085,0.649,0.712,3.04e-06,0.0,0.109,-6.658,1.0,0.0636,99.74,4.0,0.415,rnb
Manifest (My Prayer),5PQPG6LgvLxDuB02z4zSzY,0.288,0.721,0.302,0.141,8.0,0.108,-15.531,1.0,0.218,92.002,4.0,0.739,rnb
Ma Cherie,3PemVHtCIb5abITSvos4Bq,0.0321,0.839,0.789,0.00024,0.0,0.0822,-4.238,0.0,0.0979,101.971,4.0,0.792,rnb
Simple Things,7HupMpgxBnu6QgEsJibKU0,0.237,0.725,0.632,0.00526,0.0,0.0825,-6.364,1.0,0.0409,96.976,4.0,0.733,rnb
Undress You,6LVuaveD4hazORqbg67C03,0.0849,0.533,0.594,0.0111,2.0,0.195,-6.613,0.0,0.147,95.237,4.0,0.392,rnb
POLO,3hO7VuXuBbDHOTFTY5g6L5,0.0888,0.789,0.824,0.0632,7.0,0.107,-5.582,1.0,0.0458,113.028,4.0,0.697,rnb
Sweet Tea (Aduke),1L7mOi50c91uzwkmeUhClS,0.113,0.613,0.467,0.00955,1.0,0.0947,-11.039,0.0,0.328,193.967,4.0,0.384,rnb
All I Want,34oVCWxvzVR1sJNbCEMoEC,0.592,0.766,0.763,2.21e-06,5.0,0.268,-3.608,0.0,0.0659,100.072,4.0,0.591,rnb
Feran Mi,05iqnP8vkEYkrJLQPRMkyt,0.377,0.852,0.561,0.00514,6.0,0.145,-9.264,1.0,0.0524,100.007,4.0,0.666,rnb
How Many Times,45Vvoe20MW6GD7FwoacZc8,0.412,0.654,0.666,0.00493,5.0,0.113,-6.618,1.0,0.185,209.929,4.0,0.804,rnb
I Wish (feat. Libianca),6Y22KIQd0RSREshosQvN2B,0.856,0.832,0.35,0.0259,1.0,0.0845,-12.458,1.0,0.0624,112.946,4.0,0.676,rnb
high and sober (go on soun),2NndR3RtJRruBdk57CPHfp,0.599,0.83,0.463,0.0153,8.0,0.0382,-7.067,1.0,0.0524,112.016,4.0,0.782,rnb
PIANO,3idcqABwcfdvgBEdbG0ebq,0.215,0.769,0.698,0.00095,4.0,0.14,-6.549,0.0,0.102,106.077,4.0,0.648,rnb
Honest,1w8XryfrrR7rXSo5GscZ5f,0.396,0.494,0.596,7.81e-06,8.0,0.264,-6.45,0.0,0.0861,104.858,4.0,0.716,rnb
Let You Down,3apziXJWNWQPmpTceYJSZZ,0.232,0.537,0.659,1.9e-06,0.0,0.141,-7.333,0.0,0.262,94.357,4.0,0.591,rnb
Kiss 'N' Tell,0I5l2lMLSLFUcTEKWwC1O5,0.612,0.885,0.637,0.00389,8.0,0.155,-5.234,0.0,0.0405,110.019,4.0,0.766,rnb
Ego Oyibo,0pqrP2OT0JMdHa5sPwpjr7,0.725,0.641,0.627,0.000191,8.0,0.145,-7.498,1.0,0.0662,189.916,4.0,0.695,rnb
Easy On Me,54Fc0M8PNb7yAI5ieyuUEk,0.0643,0.847,0.717,5.7e-06,10.0,0.14,-5.121,1.0,0.311,103.05,4.0,0.707,rnb
Ogaranya,0tC86sTgoU5BXkV7iucdcS,0.538,0.633,0.558,0.000214,7.0,0.0676,-12.726,1.0,0.402,112.516,4.0,0.815,rnb
IS IT YOU?,3xmnR9kblvHlUWY2YDWkrE,0.13,0.764,0.601,0.0361,6.0,0.0903,-10.418,1.0,0.0479,114.963,4.0,0.659,rnb
